query_id,answer
151,4400 1966 2831 4403 2865 4234 3149 2408 4407 4408
152,4361 4219 2943 3055 2696 3689 2646 4308 3088 4509
153,1907 1909 4328 4396 4308 4286 4234 4407 1901 4362
154,4396 4328 1907 4286 1909 3436 4234 3467 4362 4133
155,4403 4400 4407 4358 2831 4361 1966 2408 2865 3209
156,2696 4400 4361 4331 2521 4308 2865 3689 3055 3088
157,4400 2521 2696 4440 3149 1966 4205 2831 3088 3056
158,4214 2698 1951 2665 4366 4234 4050 4308 4445 4045
159,4361 2865 1966 2696 4400 3149 4406 4509 3470 3567
160,1909 4516 4204 4517 4234 4328 4290 4396 4308 4400
161,4214 2698 2665 4398 3553 4308 4384 4361 4331 4395
162,2696 3078 3470 2886 4409 4361 2865 2894 4400 3482
163,4045 4234 4050 4204 4153 4362 4388 2698 4320 3467
164,4400 3006 2696 4403 4407 2831 4404 4388 4361 2663
165,3078 4219 3470 4440 4384 1966 2646 4389 2037 3565
166,4362 4153 4050 2698 4236 4234 4214 2267 1918 2196
167,4400 2865 1966 2696 4219 1958 4409 4508 4408 2866
168,1951 4234 4045 4387 3088 4361 2698 4219 4308 3689
169,2696 4400 2865 4331 4361 4234 2831 4532 3149 4219
170,2696 1958 4387 4504 4361 3078 4409 4406 4400 1966
171,2696 4373 4207 4310 4204 4218 4006 4375 4379 2220
172,4219 2646 4361 2521 4308 4384 4207 4204 4395 2962
173,2696 2886 3128 2196 3643 4433 4409 2203 4440 3993
174,1907 4234 2831 1909 4408 4396 4045 4308 2964 4050
175,4451 2295 2663 4290 4214 4445 4227 4209 4354 4447
176,4219 2646 4308 4440 4389 2521 4361 4384 2962 4394
177,4214 4050 4361 4153 4320 4308 4234 4219 3467 4045
178,4320 2232 3467 4214 4335 2698 1901 4301 2962 4383
179,4423 3028 4364 4220 4318 4372 2937 2917 2914 2909
180,3565 4219 4389 2646 4396 4384 4205 4234 4356 4321
181,4219 3565 4285 4205 4389 4384 4440 4018 4257 3149
182,1909 4204 4219 4234 1958 3088 4308 4361 2646 4218
183,2919 4214 2698 4354 4308 3467 2075 4050 4366 2665
184,4406 2696 3844 2865 4361 1966 4400 2037 3209 2866
185,4320 2232 4214 3469 4227 4301 4234 4388 4050 4366
186,4319 3254 4388 2923 2244 4320 4375 2942 2918 3993
187,2831 4400 2696 4532 4403 4408 4219 4361 2521 3078
188,4400 2696 2831 4409 4387 4361 4408 4332 3689 3055
189,4403 3689 3055 3088 2865 2831 2521 4308 4400 2696
190,4204 3580 4006 2095 2942 1951 3579 3556 3589 4276
191,4050 4384 4153 4045 4234 4532 3128 4214 4204 3643
192,1909 4396 1918 4361 4286 3419 4204 2521 4346 4328
193,4403 4407 4400 2408 3149 4532 2831 4358 4234 4361
194,3467 4286 2408 1951 4214 2698 3436 4234 4407 1918
195,4395 4424 4214 4222 2646 4389 4335 4219 3026 4350
196,4361 2865 4387 4532 2646 4504 4508 3567 4219 3149
197,4384 4361 4219 2646 2962 2695 3078 2663 4440 4389
198,4320 4234 4214 3469 3861 4050 4045 4301 2899 3467
199,4406 3844 4361 4219 2696 3689 1836 4531 2646 2865
200,2696 4400 4404 2865 4409 4440 4361 4403 4509 4205
201,2696 2203 3932 2204 4332 4409 3088 4400 3055 3689
202,4308 4219 2646 2943 4205 4396 4361 2962 2863 3088
203,1958 4387 4532 1966 4400 4219 2696 2865 3470 4504
204,4234 1909 4362 4308 4045 4396 4338 4050 4153 4214
205,4384 2943 3088 4361 2962 2696 3149 4205 4331 4409
206,4308 4396 3088 4328 4403 4407 4400 4111 4205 1901
207,4395 4214 4424 2646 3026 2698 4219 2665 4205 3149
208,4361 4308 4403 4400 2696 4219 4387 3689 3055 1909
209,4361 4331 4234 4219 3149 2943 2696 4205 2462 4532
210,4234 4331 4384 4045 2831 4400 4204 4050 4153 2696
211,1966 2831 4400 2865 4406 3078 2646 2696 3149 4219
212,4234 4045 4396 4362 3467 4050 4286 4153 2949 4308
213,4384 4219 4440 3078 3470 2646 4389 2943 3565 4313
214,4395 4214 2646 2696 4400 4219 1966 2521 3470 4403
215,4234 4328 1909 4403 4400 4408 4396 2408 4308 3419
216,2917 2663 4440 2695 4375 2794 3862 2203 2968 3932
217,4460 4366 4308 4214 2698 4290 4400 4227 4219 4451
218,4403 2521 2944 4406 4387 4205 3078 4361 3149 2866
219,1960 4308 4408 4396 4205 3149 4361 4202 3088 4219
220,4440 2220 4202 2942 4373 4008 2696 2663 2217 4276
221,4219 3565 4205 4308 2646 4285 3149 2943 4389 4396
222,1907 4234 4214 4396 4460 4045 4362 4328 4532 2071
223,4219 2646 4257 4205 4308 4361 2943 4285 3149 2521
224,4400 4409 2917 4403 2696 2408 4372 2962 4232 2831
225,4309 2910 2214 3750 4371 4010 4324 4254 4361 4322
226,4220 4371 2917 4240 4247 4423 2911 1948 4364 4372
227,4396 3436 1907 1909 4328 4286 4234 1901 4242 4308
228,2696 4406 4361 3844 2865 4400 4502 1966 4219 4358
229,1958 1966 4219 4387 4384 4400 4361 4440 4308 2646
230,2696 4400 3689 3470 3055 3088 3056 4361 3078 4409
231,4396 4234 4308 4286 4045 1907 4532 4403 4050 4153
232,4387 1958 4532 4407 2865 1966 3088 4400 4219 3055
233,3643 4532 3128 2220 4050 4045 3359 4153 4234 4204
234,4387 4403 4407 2962 4205 4331 4308 4396 2943 3149
235,4387 2696 4532 4219 4361 4400 3055 3470 3689 1909
236,4400 2696 4403 4532 4361 3209 2521 4407 2802 4408
237,3265 1918 1909 4362 4396 2663 1835 1901 3661 2668
238,4046 4133 4446 1909 4328 1918 4234 4396 4153 4204
239,2914 4423 4364 4232 4318 3737 4220 4247 4429 2937
240,4396 4328 4286 4354 1909 4234 4045 3436 4367 4050
241,4396 1907 4234 4308 4433 4328 4219 4286 4331 1899
242,4234 4362 4214 2698 4327 4435 4253 4426 3467 4308
243,3844 4406 4361 3972 4346 2943 4440 4409 2865 3007
244,4388 4375 4361 4234 4045 4308 4214 3467 2252 4384
245,4387 2696 4219 4532 4504 3088 4361 4407 4400 1958
246,2696 4409 3470 4400 4361 3078 2865 4532 2521 3689
247,4361 4387 4219 2037 3470 2943 1958 2521 4406 1909
248,2663 4375 4202 4435 4388 4269 2794 4287 2968 3932
249,3470 3078 2696 4509 3567 4313 1966 4219 4361 4384
250,4308 4214 1951 2962 4384 3467 4234 1901 2232 1899
251,2696 4400 3078 4408 3470 4308 4409 4219 4286 4384
252,2696 2894 4388 2886 4361 4375 3469 2902 4202 2663
253,4045 4308 4050 4153 4204 4234 4362 3467 2964 4133
254,4320 4354 4321 1961 4050 4153 4331 2075 4234 4361
255,4404 1909 2521 2944 4308 4434 2663 3150 4328 1918
256,2696 4400 4409 3078 2865 3470 4361 4406 1966 4219
257,4220 4335 4369 4186 4267 3860 3995 4430 3793 2674
258,4234 4395 4204 4214 4362 4045 4050 4308 4446 4153
259,4400 4403 3470 1966 4384 4308 4219 2865 3078 2521
260,4050 1951 4045 4153 4234 4214 3467 4320 2698 4308
261,4400 2962 2831 2408 4403 4361 4407 4408 4286 4532
262,4286 4396 2408 3419 4361 1909 4234 2511 4407 4403
263,4518 4530 4162 3579 2953 4291 4243 3858 4375 4354
264,4309 3793 2521 2674 4332 3016 2214 4324 4254 3750
265,1966 4508 1958 2865 4387 2646 4400 3470 2696 2866
266,2698 4451 4214 4366 4209 3995 4445 4290 3478 4227
267,4400 2831 4532 4358 1966 4403 2962 4387 4408 4361
268,4234 4045 4362 4308 4050 4153 4214 4204 2964 4133
269,4214 2698 4308 3995 4366 4290 4209 4460 4400 4375
270,2646 4384 4361 4219 4389 4235 4301 4312 2675 4204
271,4328 1907 4396 4234 4308 1909 4400 4286 3467 2831
272,2865 1966 1958 4219 2696 4400 2646 4361 2866 2521
273,3467 1951 4532 4214 2698 4366 2962 2665 4045 4234
274,1909 1901 4396 4433 4308 4205 4328 4435 4234 1918
275,2646 4361 4219 4384 4406 4308 4440 4234 4313 2037
276,2696 4361 4400 4406 3689 3055 4532 3470 4387 4308
277,4451 2698 4214 4209 3995 2405 4460 4227 4290 2695
278,4396 4328 2408 1907 3467 1909 3436 4009 2511 2462
279,4396 1907 4328 4286 2408 3743 1909 4126 3419 4360
280,4234 4358 4403 2511 4400 4219 4308 4396 4361 4408
281,2663 2695 4404 4361 4409 2943 4384 3151 2062 2794
282,4219 4308 2646 4361 4400 4384 2962 4440 2831 2865
283,4133 4046 4045 4446 4234 4362 4050 4153 4328 4308
284,2895 4008 4356 2663 4335 4435 2661 2794 2968 3932
285,4308 4214 2665 2698 4234 1909 4045 4361 4204 3467
286,4308 4234 4396 4290 4227 1909 4328 4214 4050 4400
287,4355 4256 2295 4314 4437 2152 4081 3734 4224 1834
288,2962 4397 4227 4290 2646 2902 4219 2232 3400 3483
289,2962 4308 2964 4331 4361 1836 4408 4286 1909 3689
290,4219 4234 4204 4308 4045 4050 4153 2962 4384 2646
291,2408 2696 4387 4403 4389 2831 2521 4205 3088 1966
292,2696 3078 4400 4361 3470 2865 3088 3689 4219 1966
293,4219 2646 4440 3565 4389 4384 4313 4308 4233 3564
294,4395 2646 4387 4424 4509 1966 3567 4508 4219 2049
295,4400 1966 2865 2696 1958 4387 2964 4409 4361 4219
296,4214 4308 4320 4234 1901 4219 4331 4050 4045 4153
297,4308 4331 4205 4214 2964 4234 3149 4133 4396 2646
298,4406 2696 3844 4361 2037 2721 3689 4400 4508 4409
299,2943 2037 3470 4361 3689 3055 3748 1775 3088 1966
300,4408 4234 4308 1960 2964 4387 3467 2695 4219 2831
301,4219 4331 4361 2646 2521 2943 4440 1909 3149 2696
302,2670 4354 4375 4266 2219 2217 4287 2942 2156 2885
303,4396 4286 4328 1907 4308 1901 4234 3467 1909 2521
304,4219 2646 2521 2267 4214 3015 4361 4308 2831 4234
305,4362 2698 4214 4227 1901 4216 4045 4290 4218 4050
306,4234 4328 2408 4133 4403 4219 1909 4396 1923 4009
307,4354 4266 3784 4328 2949 4375 2794 2663 4239 4335
308,1951 4286 3743 4301 2075 2408 4235 3778 3467 4234
309,2663 2238 2220 3932 2204 2203 4440 4202 4375 3043
310,4234 4050 4265 4205 4391 4153 4045 4388 2889 2646
311,4400 2865 1966 3470 2696 4358 4361 4219 4407 4406
312,4050 4362 4234 2698 4153 4045 4214 4396 4503 4308
313,4045 4234 4050 4153 4204 4362 4308 4219 1951 3467
314,4308 4396 1901 4234 4328 1918 4045 1909 1899 4050
315,1951 4219 2962 4320 3467 4214 4045 4234 4050 4384
316,4400 2831 4308 4358 2962 4408 4387 4403 4219 4361
317,4308 4328 1909 4234 4286 4400 1901 4045 4396 4408
318,1966 2646 4387 4509 4508 3567 4504 2049 2865 2408
319,4234 4045 4204 4050 4153 4362 4133 4446 4308 4331
320,4384 4219 4309 4406 4312 4361 4233 2865 2646 3470
321,4396 4328 4286 1907 1909 3467 1918 2408 3436 3419
322,1909 4265 4391 3843 2521 4245 4344 2802 3168 2944
323,4098 1966 2041 2696 3470 4509 4400 2865 2866 2894
324,2865 1958 1966 4219 4508 4400 1907 4387 2521 4308
325,4400 1966 2831 4408 2865 2962 4308 2521 2408 2943
326,3436 4396 4308 4328 4234 1907 2964 3467 4362 4286
327,4361 4331 4219 2646 2408 4308 2962 2521 2943 4407
328,4308 2964 4248 4299 2663 4513 4216 4331 1910 4262
329,4400 4532 2831 4308 4408 4219 4358 4403 2696 4387
330,4214 1951 2665 4308 4219 2962 4234 2698 2646 4331
331,4384 4219 4361 3077 2646 4202 4440 2962 2214 4308
332,4214 4366 2698 4290 4227 4308 4451 4395 4234 4219
333,4308 4384 2232 4234 4317 4366 4315 4320 4361 3467
334,4214 2698 4308 4366 4451 2665 4445 4400 4050 4209
335,1899 1901 3128 2198 4375 4229 4388 4354 4422 4234
336,4396 4328 4400 4234 4446 4045 4362 4133 4046 4308
337,4384 4406 4205 4361 3149 4219 4331 1909 4411 4234
338,4234 4331 2462 4308 4153 4361 2962 4204 4407 4395
339,4214 2698 4366 4290 4308 4227 4451 4445 4234 4219
340,4375 2695 4438 2948 2696 4355 4354 3995 4383 4388
341,4387 4389 2696 4440 4504 1958 4400 3088 4407 3149
342,4045 4050 4153 3781 3782 4046 3783 3780 4518 4307
343,4219 2521 2646 4361 2831 4384 2962 4395 4308 4532
344,4045 4050 4153 4133 2646 4046 4446 4234 4396 4308
345,4219 4361 3078 3470 4509 2521 4395 4308 4440 4400
346,4445 2253 2968 4165 1918 4432 4418 2663 4291 2408
347,4400 2696 3078 4332 4403 2831 4408 1958 3470 4387
348,2521 1910 4387 4440 4395 4219 2802 2962 4308 2831
349,2943 4389 4361 3078 4219 2646 4440 2866 4136 3470
350,2865 1966 2696 4400 4508 4509 2866 4219 3567 4406
351,4400 4361 3689 3055 4532 4387 4012 4083 3149 1966
352,4214 2698 4451 4366 4308 4400 4445 4395 4209 4234
353,2062 4110 4411 3587 3261 4205 2060 2857 4109 4404
354,4375 1899 4388 4308 4202 2244 4354 4396 4234 3778
355,2962 4397 4219 2646 2865 4361 2696 1966 4387 4389
356,4045 4234 4362 4308 2964 4153 4050 4214 3265 4396
357,4219 4234 4361 4403 2646 4308 2408 3564 4358 2511
358,4234 2646 4204 4400 4361 4045 4308 4214 4219 4050
359,4400 4219 2696 2831 4407 4504 2865 3078 4403 4532
360,4320 4045 4214 2698 4367 4308 4234 4431 4050 3467
361,2665 4214 4395 4454 1909 4424 4398 3553 1918 4326
362,4308 4045 4384 3689 4361 2964 3055 4400 4366 4050
363,2696 3078 3470 2865 1966 4406 4361 3844 2886 4409
364,4396 1907 1909 3436 4328 4286 4234 4308 4400 1901
365,2663 3151 4515 4545 4008 4404 4287 4205 2217 2968
366,4400 3149 2865 4361 4407 4234 4406 2646 4219 2962
367,3470 4384 4440 4313 3078 3077 1966 4219 4395 3748
368,1910 4308 1899 4234 1909 4361 2698 4214 4331 2962
369,4234 4133 4403 4050 4153 4045 2408 4362 3467 4046
370,1951 4045 4234 2646 4362 3467 4153 4050 4214 4308
371,4445 4209 4451 4332 3995 4409 2663 4178 4335 4355
372,3088 4400 1958 3419 1909 4362 1918 4396 4234 4361
373,3088 4395 4331 4234 4050 4153 4204 4045 1881 1910
374,4400 4308 4219 4234 4331 2831 2646 2964 4532 4502
375,3467 4218 4050 4310 4153 3128 4362 3127 4219 1951
376,2865 1966 4400 4219 1958 2696 2646 2866 4406 4361
377,4219 2646 2831 4234 4308 2962 2865 4502 4400 4532
378,2408 4234 4358 2696 4045 4362 3265 4329 4050 4440
379,4440 2696 4361 4384 2865 4509 4202 4389 4219 2943
380,4361 2696 4400 4403 2865 4407 2831 1966 2962 2408
381,4400 4361 2037 4406 1966 2865 4502 4219 2646 4408
382,4396 3419 4286 2408 1909 1907 4326 4261 2191 2511
383,3862 4551 2917 4370 4249 4269 4296 4243 4319 4318
384,4234 4045 4204 4308 4050 4153 4331 4214 3467 4334
385,3467 4219 1951 4301 4045 4320 4050 4532 4153 4234
386,3078 3470 2696 4509 1966 3567 4400 1775 3748 4384
387,3467 4396 4214 4050 4153 4045 4234 4388 4286 2698
388,4219 4361 2943 4509 4440 4384 4395 4404 3088 4389
389,1951 3467 4234 4045 4219 2698 4308 4214 2646 4331
390,4371 2910 4364 4423 4318 4220 4347 4372 4401 2794
391,4234 2408 4396 4045 4358 2511 4308 4153 4361 4050
392,4308 4214 4234 4045 4050 4362 4153 2698 2964 1899
393,4219 2646 2962 2831 4400 4308 4384 4408 4397 4234
394,3467 2911 4367 2948 4045 2075 1951 4438 4046 4234
395,4276 4373 4207 2220 2942 3128 4395 2968 4008 3564
396,4384 4219 4205 4395 2962 2646 1918 4409 4388 4408
397,4361 4234 4331 4308 4400 2462 4214 1951 4219 3149
398,4454 4395 4523 1842 4329 4528 4526 4424 4236 4429
399,2696 4361 2865 3149 2866 4440 4509 2943 4400 2521
400,4395 4424 4219 4389 4384 2646 4440 2064 4214 4313
401,4400 4403 2831 1966 2865 3088 4387 4408 4407 4308
402,4214 2698 4290 4227 4451 4366 4447 2663 3995 2794
403,2696 4406 3844 2865 1966 4361 2866 3689 4400 2037
404,2696 1966 3470 3567 4400 4509 2865 4361 3209 4219
405,4286 4396 3209 1909 4407 4234 3467 4388 4354 2244
406,2696 4387 4361 4400 3078 2831 4409 4532 3470 2521
407,3436 4396 1899 4234 4045 4133 4046 4328 4362 4050
408,4361 4234 4396 4406 2646 3088 4308 1958 4331 4045
409,1909 1901 4396 4286 4249 4296 4234 4354 4308 4387
410,3467 4358 4334 4308 4331 4234 4361 4219 4321 4204
411,4361 2962 4403 3088 4308 4331 2831 4407 4205 2408
412,4214 4395 2646 3026 4219 4424 2665 4331 2962 4384
413,4133 4400 3889 4046 4153 4050 1910 4134 4045 4234
414,2794 4248 4299 2663 2917 2968 2253 4423 4335 2948
415,4308 4331 2964 4400 4045 4050 4234 4153 3088 4133
416,2521 4440 3689 3055 4400 1966 3149 4205 2696 4408
417,4411 2062 4110 3147 4404 2061 4419 4338 3008 4205
418,1909 4516 4290 4409 4286 4308 4234 4517 4302 4227
419,3078 4384 3470 2696 4400 4403 4409 3127 2288 3209
420,4384 4440 2646 3470 4395 3078 4219 4313 1966 4361
421,2696 4400 4308 4361 4234 2865 4331 4403 2831 3088
422,3088 4396 4234 4308 4400 4362 4050 4331 4153 1960
423,2962 4440 4397 4219 4394 2521 4361 4308 4389 2646
424,4406 4400 4308 4219 4408 3844 4234 2696 4331 1960
425,4384 2944 4361 1901 3843 2802 4234 2698 4050 2646
426,2962 4219 4440 4397 4361 2646 4389 4409 4395 4331
427,4234 4050 4396 4217 4384 4045 4153 4383 4310 4395
428,4395 4234 4362 3561 4204 4050 4045 4153 4214 4308
429,4396 4328 1907 3467 4286 1909 4234 3436 1951 4050
430,4400 1966 4219 4387 2865 4308 4504 2962 2831 1958
431,2696 4406 3844 4361 2865 1966 2037 3689 4400 2866
432,4308 4234 4384 4361 2831 4214 4532 4400 4050 4320
433,4234 4361 4219 2962 4308 4396 4403 4384 2511 4408
434,1909 4396 2962 4358 2408 4286 3419 4407 4308 4408
435,4219 2646 4361 4400 2521 4532 4406 2865 4234 4408
436,4408 2962 4400 1960 4308 2831 4387 4214 4331 3006
437,2962 4397 4361 2865 4219 4509 4406 2696 3567 3844
